path_name,17-002,17-006,17-019,17-023,17-026,17-027,17-030,17-034,17-040,17-041,17-042,17-043,17-045,17-047,17-054,17-055,17-057,17-058,17-060,17-061
"1,4-Dichlorobenzene degradation(Kegg)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1- and 2-Methylnaphthalene degradation(Kegg),0.6988690643154432,0.7390003697351154,0.605597804942615,0.44828107226681907,0.5089213438898906,0.4608150826311277,0.5083932342940481,0.7264663593708068,0.7257201538884855,0.66911045686381,0.6421106353833027,0.6541648680396992,0.5091302908833899,0.6499177079243769,0.5588909819341716,0.6665390564936939,0.5885561199651552,0.6392534855539811,0.7361007250141023,0.6300137088711409
3-Chloroacrylic acid degradation(Kegg),0.8502494588081863,0.9037579521295154,0.8408552150480707,0.8847976722689403,0.8291062255971008,0.8163891570682078,0.8999469030415531,0.8870458522153376,0.7854133023739372,0.8125796239624457,0.9037578660344159,0.7853329419965188,0.8736765800752265,0.8125796239624457,0.702655110829069,0.8139982078281629,0.7686937193608623,0.8999484190237532,0.7669785712184214,0.7723398256672939
Acute myeloid leukemia(Kegg),0.3703663630210985,0.3936840238690318,0.42154303209960625,0.3702213436474189,0.37021108187071966,0.330209919228215,0.4277359939272844,0.41283517337970305,0.5111790392253204,0.35722942194961055,0.4275667379390498,0.2869589943825165,0.3452712509934929,0.3851704191070077,0.3770210647181706,0.47185141681151516,0.39050366871675196,0.24685260784552426,0.3790699480525418,0.3615078398205357
Adherens junction(Kegg),0.25378287767071056,0.23421053766250016,0.315290278624053,0.20218455551774403,0.16896258405194836,0.17830568679946066,0.29968965062152614,0.36286716763154825,0.29103527417802943,0.3388023839409727,0.3361125474205003,0.34586324574227256,0.3477830864394112,0.23226366954659966,0.32023619501192324,0.3310499340277892,0.22233817905287137,0.1800480684824247,0.18541341270852815,0.3457465574663802
Adipocytokine signaling pathway(Kegg),0.4182525269667503,0.4076088482399055,0.4257591155980569,0.43807592753930796,0.34946094699605207,0.3846828307947693,0.5066122764011041,0.42656860307749817,0.528676688754764,0.4832913448529062,0.4070161404326948,0.5045709671406867,0.422192586974834,0.5706818739436492,0.5254218999603861,0.5173758361374806,0.5397004647097079,0.5057437944526029,0.43579912966962603,0.41163159456903725
Alanine and aspartate metabolism(Kegg),0.40389261641683255,0.5265474017046976,0.5485942464257402,0.3123332224263539,0.3270418902614178,0.4924889447837821,0.5434812217408983,0.5773691116274705,0.3433805223310907,0.6044265023996691,0.4525012156010487,0.5603547174704098,0.5872763822524105,0.5439644738941688,0.5381133535628568,0.44576788437776327,0.56804211926067,0.610509268231222,0.5693779042318817,0.46161527641114464
Alkaloid biosynthesis I(Kegg),0.2389457303683998,0.30984840632163174,0.30835456765291525,0.1119372873986056,0.18183848210184725,0.13759732562206808,0.3097225531333342,0.3097225531333342,0.3272062230572985,0.2873537313601491,0.23207230857128225,0.2756319880169196,0.327080369869001,0.23796794551755163,0.30984840632163174,0.19783452546916486,0.30984840632163174,0.29149912348958945,0.2657163482015338,0.2151923422048317
Alkaloid biosynthesis II(Kegg),0.4998532390557064,0.1380394954451154,0.14384630681608815,0.46101333530470073,0.45898333058027885,0.3747939809026968,0.4871367045976009,0.4998630581256472,0.48970194752342616,0.30112917212587875,0.4998630581256472,0.49988301426167636,0.49518736261442003,0.26148780285163603,0.16387017816937124,0.4772504929071703,0.16281890931438814,0.17700159281675135,0.47679622575142916,0.4596536364329387
Allograft rejection(Kegg),0.2796705922453018,0.1674504900271247,0.13422569090142206,0.4439764315428582,0.3703620930956255,0.3013938036502761,0.2282914017218373,0.4261131539986764,0.470797324299852,0.5686662151241493,0.39217044663130296,0.35175722948346166,0.38409233952079863,0.18133131871791366,0.6271979760755338,0.47661969865411424,0.1591526596115855,0.10132088772959247,0.2825351295860366,0.27472557634169203
